epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,145.264,2.21932,1.50891,1.23418,0.40152,0.65034,0.48304,0.14575,2.2709,1.3577,1.32078,0.00992085,0.00992085,0.00992085
59,147.679,2.20913,1.56865,1.1529,0.34432,0.69984,0.51337,0.18238,2.24014,1.34835,1.31564,0.00991805,0.00991805,0.00991805
60,150.134,2.16238,1.45704,1.21146,0.3459,0.55506,0.49874,0.18409,2.21534,1.34086,1.33806,0.00991521,0.00991521,0.00991521
61,152.529,2.17176,1.53277,1.22432,0.28614,0.57057,0.47364,0.17556,2.13145,1.3017,1.28646,0.00991232,0.00991232,0.00991232
62,154.995,2.0717,1.37755,1.19013,0.69097,0.3723,0.52717,0.18059,2.27645,1.3021,1.35092,0.00990938,0.00990938,0.00990938
63,157.474,2.13116,1.44462,1.19743,0.38268,0.53275,0.472,0.22245,2.2859,1.33572,1.36144,0.0099064,0.0099064,0.0099064
64,160.143,2.12857,1.44961,1.26051,0.39856,0.53205,0.4618,0.19345,2.17027,1.37039,1.28842,0.00990336,0.00990336,0.00990336
65,162.535,2.19147,1.41257,1.26423,0.33581,0.58477,0.41575,0.14828,2.28089,1.42729,1.34649,0.00990028,0.00990028,0.00990028
66,164.952,2.15944,1.41243,1.2247,0.37321,0.62107,0.46445,0.17463,2.24207,1.51916,1.32525,0.00989715,0.00989715,0.00989715
67,167.389,2.08373,1.39248,1.25822,0.29963,0.54558,0.43007,0.16533,2.53271,1.53478,1.46233,0.00989398,0.00989398,0.00989398
68,169.911,2.28482,1.38209,1.25219,0.51319,0.3622,0.4005,0.1481,2.4528,1.55321,1.42983,0.00989075,0.00989075,0.00989075
69,172.282,2.07181,1.44218,1.26508,0.37918,0.41734,0.43025,0.1746,2.45605,1.49743,1.42445,0.00988748,0.00988748,0.00988748
70,174.71,2.55796,1.6262,1.3577,0.28015,0.58122,0.35758,0.15934,2.36714,1.39224,1.35821,0.00988416,0.00988416,0.00988416
71,177.111,2.19749,1.22653,1.22833,0.48676,0.45325,0.43016,0.17268,2.46139,1.452,1.35603,0.00988079,0.00988079,0.00988079
